make	model	body style	year	mileage	engine	fuel type	number of owners	price
Honda	Odyssey	Touring Elite	2013	122,986	3.5L V-6 Gas	Gas	2	12,895
Honda	Pilot	EX FWD	2013	80,532	3.5L V-6 Gas	Gas	3	11,694
Honda	CR-V	LX FWD	2013	79,796	2.4L Inline-4 Gas	Gas	1	13,590
Honda	Civic	LX Sedan Automatic	2013	76,882	1.8L Inline-4 Gas	Gas	1	7,986
Honda	Civic	LX Sedan Automatic	2013	113,673	1.8L Inline-4 Gas	Gas	1	6,990
Honda	Civic	LX Sedan Automatic	2013	69,801	1.8L Inline-4 Gas	Gas	2	8,997
Honda	Civic	LX Sedan Automatic	2013	87,362	1.8L Inline-4 Gas	Gas	3	9,995
Honda	Civic	LX Sedan Automatic	2013	100,877	1.8L Inline-4 Gas	Gas	2	7,999
Honda	Civic	LX Sedan Automatic	2013	128,945	1.8L Inline-4 Gas	Gas	2	6,919
Honda	CR-V	LX FWD	2013	155,039	2.4L Inline-4 Gas	Gas	2	7,998
Honda	Civic	LX Sedan Automatic	2013	36,784	1.8L Inline-4 Gas	Gas	2	9,975
Honda	CR-V	LX FWD	2013	58,472	2.4L Inline-4 Gas	Gas	1	11,350
Honda	CR-V	EX FWD	2013	174,662	2.4L Inline-4 Gas	Gas	1	6,999
Honda	CR-V	LX AWD	2013	168,786	2.4L Inline-4 Gas	Gas	2	7,300
Honda	Civic	LX Sedan Automatic	2013	77,565	1.8L Inline-4 Gas	Gas	2	10,590
Honda	Civic	Hybrid with Leather Sedan I4 CVT	2013	52,008	1.5L Inline-4 Hybrid	Hybrid	2	10,577
Honda	Civic	Hybrid Sedan I4 CVT	2013	66,499	1.5L Inline-4 Hybrid	Hybrid	1	10,000
Honda	Civic	LX Sedan Automatic	2013	109,484	1.8L Inline-4 Gas	Gas	1	7,990
Honda	Accord	LX Sedan I4 CVT	2013	131,801	2.4L Inline-4 Gas	Gas	2	7,495
Honda	Civic	LX Sedan Automatic	2013	40,000	1.8L Inline-4 Gas	Gas	2	10,000
Honda	Civic	EX Coupe Automatic	2013	106,847	1.8L Inline-4 Gas	Gas	4	6,995
Honda	Civic	LX Sedan Automatic	2013	63,696	1.8L Inline-4 Gas	Gas	2	10,990
Honda	Civic	LX Sedan Automatic	2013	120,100	1.8L Inline-4 Gas	Gas	2	6,919
Honda	CR-V	EX-L FWD	2013	89,953	2.4L Inline-4 Gas	Gas	2	12,990
Honda	CR-V	EX AWD	2013	144,244	2.4L Inline-4 Gas	Gas	2	9,588
Honda	CR-V	EX-L FWD	2013	107,978	2.4L Inline-4 Gas	Gas	3	10,988
Honda	Fit	Automatic	2013	44,242	1.5L Inline-4 Gas	Gas	1	7,991
Honda	Civic	LX Coupe Automatic	2013	85,246	1.8L Inline-4 Gas	Gas	4	8,000
Honda	Accord	EX-L Sedan I4 CVT	2013	121,113	2.4L Inline-4 Gas	Gas	2	9,482
Honda	Accord	EX-L Sedan I4 CVT	2013	183,994	2.4L Inline-4 Gas	Gas	1	7,000
Honda	CR-V	EX-L AWD	2013	69,089	2.4L Inline-4 Gas	Gas	2	11,794
Honda	Odyssey	EX-L	2013	106,138	3.5L V-6 Gas	Gas	3	10,200
Honda	CR-V	EX-L FWD	2013	104,952	2.4L Inline-4 Gas	Gas	2	11,293
Honda	Accord	LX Sedan I4 CVT	2013	127,336	2.4L Inline-4 Gas	Gas	2	8,500
Honda	Civic	EX-L Sedan Automatic	2013	90,679	1.8L Inline-4 Gas	Gas	1	10,990
Honda	Civic	EX Sedan Automatic	2013	50,286	1.8L Inline-4 Gas	Gas	2	9,378
Honda	CR-V	LX FWD	2013	62,250	2.4L Inline-4 Gas	Gas	3	12,048
Honda	Accord	EX-L Sedan I4 CVT	2013	140,702	2.4L Inline-4 Gas	Gas	2	8,694
Honda	Civic	LX Sedan Automatic	2013	76,603	1.8L Inline-4 Gas	Gas	3	7,495
Honda	Fit	Automatic	2013	67,000	1.5L Inline-4 Gas	Gas	3	6,900
Honda	CR-V	LX FWD	2013	47,053	2.4L Inline-4 Gas	Gas	2	13,990
Honda	Civic	Hybrid Sedan I4 CVT	2013	91,325	1.5L Inline-4 Hybrid	Hybrid	1	8,820
Honda	Odyssey	EX	2013	104,262	3.5L V-6 Gas	Gas	2	8,199
Honda	Civic	EX Sedan Automatic	2013	96,714	1.8L Inline-4 Gas	Gas	1	6,995
Honda	Civic	Hybrid with Leather Sedan I4 CVT	2013	81,912	1.5L Inline-4 Hybrid	Hybrid	2	9,550
Honda	Civic	LX Sedan Automatic	2013	95,898	1.8L Inline-4 Gas	Gas	2	8,449
Honda	Accord	EX Sedan I4 Manual	2013	162,093	2.4L Inline-4 Gas	Gas	1	6,997
Honda	Civic	EX Sedan Automatic	2013	98,057	1.8L Inline-4 Gas	Gas	2	8,000
Honda	Odyssey	Touring	2013	113,447	3.5L V-6 Gas	Gas	2	12,795
Honda	CR-V	LX FWD	2013	183,000	2.4L Inline-4 Gas	Gas	4	7,700
Honda	Accord	EX-L Sedan I4 CVT	2013	107,468	2.4L Inline-4 Gas	Gas	1	10,990
Honda	Accord	EX-L V6 Sedan Automatic	2013	116,968	3.5L V-6 Gas	Gas	3	10,910
Honda	Civic	LX Sedan Automatic	2013	152,827	1.8L Inline-4 Gas	Gas	2	5,495
Honda	CR-V	EX-L AWD	2013	130,918	2.4L Inline-4 Gas	Gas	1	12,226
Honda	Civic	EX Sedan Automatic	2013	93,257	1.8L Inline-4 Gas	Gas	2	7,495
Honda	CR-V	LX AWD	2013	84,361	2.4L Inline-4 Gas	Gas	3	10,591
Honda	Civic	LX Sedan Automatic	2013	128,240	1.8L Inline-4 Gas	Gas	2	6,900
Honda	Civic	LX Sedan Automatic	2013	126,601	1.8L Inline-4 Gas	Gas	1	6,995
Honda	Civic	LX Sedan Automatic	2013	101,533	1.8L Inline-4 Gas	Gas	2	8,820
Honda	Accord	EX-L Sedan I4 CVT	2013	73,281	2.4L Inline-4 Gas	Gas	3	13,990
Honda	CR-V	EX-L AWD	2013	109,546	2.4L Inline-4 Gas	Gas	1	12,094
Honda	Odyssey	Touring	2013	112,052	3.5L V-6 Gas	Gas	2	11,789
Honda	Civic	LX Sedan Automatic	2013	142,656	1.8L Inline-4 Gas	Gas	2	7,600
Honda	Accord	Touring Sedan V6 Automatic	2013	173,066	3.5L V-6 Gas	Gas	3	5,995
Honda	Odyssey	EX-L	2013	143,165	3.5L V-6 Gas	Gas	2	9,614
Honda	CR-V	LX AWD	2013	140,455	2.4L Inline-4 Gas	Gas	3	8,975
Honda	Accord	EX-L Sedan I4 CVT	2013	105,093	2.4L Inline-4 Gas	Gas	2	8,995
Honda	Accord	EX-L V6 Sedan Automatic	2013	118,795	3.5L V-6 Gas	Gas	1	9,774
Honda	Accord	EX-L Sedan I4 CVT	2013	82,314	2.4L Inline-4 Gas	Gas	2	12,990
Honda	CR-V	EX-L FWD	2013	80,672	2.4L Inline-4 Gas	Gas	2	13,991
Honda	CR-V	EX-L AWD	2013	67,000	2.4L Inline-4 Gas	Gas	1	13,419
Honda	Accord	LX Sedan I4 CVT	2013	157,406	2.4L Inline-4 Gas	Gas	3	7,615
Honda	Accord	EX Sedan I4 CVT	2013	186,716	2.4L Inline-4 Gas	Gas	1	7,995
Honda	Pilot	EX-L 4WD	2013	165,491	3.5L V-6 Gas	Gas	2	9,561
Honda	Civic	LX Sedan Automatic	2013	72,436	1.8L Inline-4 Gas	Gas	3	9,952
Honda	Accord	Sport Sedan I4 CVT	2013	83,324	2.4L Inline-4 Gas	Gas	1	11,881
Honda	CR-V	EX-L AWD	2013	88,486	2.4L Inline-4 Gas	Gas	2	10,995
Honda	Odyssey	Touring	2013	142,963	3.5L V-6 Gas	Gas	1	10,588
Honda	CR-V	EX FWD	2013	52,297	2.4L Inline-4 Gas	Gas	2	14,590
Honda	CR-V	EX AWD	2013	105,710	2.4L Inline-4 Gas	Gas	1	10,695
Honda	Accord	LX Sedan I4 CVT	2013	87,898	2.4L Inline-4 Gas	Gas	2	9,599
Honda	Fit	Automatic	2013	54,000	1.5L Inline-4 Gas	Gas	1	8,599
Honda	Civic	LX Sedan Automatic	2013	84,399	1.8L Inline-4 Gas	Gas	2	9,498
Honda	CR-V	EX AWD	2013	136,309	2.4L Inline-4 Gas	Gas	2	9,000
Honda	Civic	LX Sedan Automatic	2013	141,724	1.8L Inline-4 Gas	Gas	1	7,784
Honda	CR-V	EX-L AWD	2013	74,887	2.4L Inline-4 Gas	Gas	3	10,998
Honda	Civic	LX Sedan Automatic	2013	86,576	1.8L Inline-4 Gas	Gas	2	9,500
Honda	Civic	Hybrid Sedan I4 CVT	2013	84,533	1.5L Inline-4 Hybrid	Hybrid	2	8,450
Honda	Accord	EX-L V6 Sedan Automatic	2013	73,647	3.5L V-6 Gas	Gas	1	13,495
Honda	Civic	LX Sedan Automatic	2013	38,460	1.8L Inline-4 Gas	Gas	3	9,997
Honda	Odyssey	EX-L	2013	161,208	3.5L V-6 Gas	Gas	2	9,691
Honda	Civic	LX Coupe Automatic	2013	114,971	1.8L Inline-4 Gas	Gas	1	7,989
Honda	CR-V	EX AWD	2013	91,677	2.4L Inline-4 Gas	Gas	2	9,875
Honda	CR-V	EX-L FWD	2013	87,014	2.4L Inline-4 Gas	Gas	1	12,282
Honda	Civic	LX Sedan Automatic	2013	120,756	1.8L Inline-4 Gas	Gas	2	7,990
Honda	Accord	Sport Sedan I4 CVT	2013	105,286	2.4L Inline-4 Gas	Gas	1	9,899
Honda	CR-V	EX-L AWD	2013	86,424	2.4L Inline-4 Gas	Gas	3	15,590
Honda	Civic	EX Sedan Automatic	2013	100,916	1.8L Inline-4 Gas	Gas	2	8,299
Honda	CR-V	EX-L FWD	2013	131,892	2.4L Inline-4 Gas	Gas	1	10,500
Honda	Accord	EX-L Sedan I4 CVT	2013	146,395	2.4L Inline-4 Gas	Gas	2	9,919
Honda	Accord	Sport Sedan I4 CVT	2014	72,037	2.4L Inline-4 Gas	Gas	2	13,499
Honda	CR-V	EX-L FWD	2014	58,491	2.4L Inline-4 Gas	Gas	2	13,266
Honda	Accord	Sport Sedan I4 CVT	2014	119,998	2.4L Inline-4 Gas	Gas	1	11,995
Honda	Accord	LX Sedan I4 CVT	2014	217,900	2.4L Inline-4 Gas	Gas	1	7,995
